title,make,model,year,condition,transmission,price
Lexus GS 2007 Black,Lexus,GS,2007,local used,automatic,"₦ 6,780,000"
Lexus GX 460 Base 2016 Black,Lexus,GX 460,2016,foreign used,automatic,"₦ 36,000,000"
Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2014 Gray,Hyundai,Elantra Limited,2014,foreign used,automatic,"₦ 11,000,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Silver,Toyota,Highlander XLE,2018,foreign used,automatic,"₦ 35,000,000"
New Toyota Fortuner 2025 Black,New,Toyota Fortuner,2025,brand new,automatic,"₦ 75,000,000"
Toyota Land Cruiser Prado 4.0 2023 Black,Toyota,Land Cruiser,2023,foreign used,automatic,"₦ 77,000,000"
Toyota Camry 2006 White,Toyota,Camry,2006,local used,automatic,"₦ 2,500,000"
Lexus GX 460 Premium 2013 Black,Lexus,GX 460,2013,local used,automatic,"₦ 20,000,000"
Toyota Camry 2016 Gray,Toyota,Camry,2016,foreign used,automatic,"₦ 14,800,000"
Lexus RX 350L 4WD 2020 Black,Lexus,RX 350L,2020,local used,automatic,"₦ 45,000,000"
Toyota RAV4 2.5 Limited 2010 Red,Toyota,RAV4 2,2010,foreign used,automatic,"₦ 14,500,000"
Audi A4 2.0T Premium Multitronic 2013 Silver,Audi,A4 2,2013,local used,automatic,"₦ 7,000,000"
Toyota Corolla XRS 4dr Sedan (2.4L 4cyl 5A) 2010 White,Toyota,Corolla XRS,2010,foreign used,automatic,"₦ 10,800,000"
Toyota Highlander 2007 Red,Toyota,Highlander,2007,local used,automatic,"₦ 4,300,000"
Mercedes-Benz GLC-Class 2021 Red,Mercedes-Benz,GLC-Class,2021,foreign used,automatic,"₦ 43,000,000"
Honda Accord 2014 Burgundy,Honda,Accord,2014,foreign used,automatic,"₦ 13,900,000"
Toyota Sienna 2015 White,Toyota,Sienna,2015,local used,automatic,"₦ 11,500,000"
Lexus IS 2008 Gray,Lexus,IS,2008,local used,automatic,"₦ 7,500,000"
Lexus IS 250 4WD 2014 White,Lexus,IS 250,2014,foreign used,automatic,"₦ 19,000,000"
Mercedes-Benz GLE-Class 2018 White,Mercedes-Benz,GLE-Class,2018,foreign used,automatic,"₦ 41,000,000"
Lexus LX 570 (5 seats) AWD 2019 Black,Lexus,LX 570,2019,local used,automatic,"₦ 112,000,000"
Mercedes-Benz GLE-Class GLE 350 2022 White,Mercedes-Benz,GLE-Class GLE,2022,foreign used,automatic,"₦ 90,000,000"
Volkswagen CC 2014 Black,Volkswagen,CC,2014,local used,automatic,"₦ 5,200,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.5L 6cyl 7A) 2013 White,Mercedes-Benz,C300 Luxury,2013,foreign used,automatic,"₦ 17,000,000"
Mercedes-Benz M Class ML 350 4Matic 2012 White,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 19,500,000"
Toyota Corolla 2005 Black,Toyota,Corolla,2005,local used,automatic,"₦ 5,580,000"
Lexus RX 2007 Green,Lexus,RX,2007,foreign used,automatic,"₦ 17,339,062"
Toyota Venza 2012 Blue,Toyota,Venza,2012,local used,automatic,"₦ 12,800,000"
Lexus GX 2008 Black,Lexus,GX,2008,local used,automatic,"₦ 15,187,500"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 40,000,000"
Lexus ES 2016 Gray,Lexus,ES,2016,foreign used,automatic,"₦ 19,000,000"
Lexus RX 350 AWD 2015 Black,Lexus,RX 350,2015,foreign used,automatic,"₦ 25,000,000"
Hyundai Santa Fe 2018 White,Hyundai,Santa Fe,2018,foreign used,automatic,"₦ 17,500,000"
Toyota RAV4 2014 Red,Toyota,RAV4,2014,foreign used,automatic,"₦ 20,500,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,foreign used,automatic,"₦ 9,500,000"
Lexus ES 350 2008 White,Lexus,ES 350,2008,local used,automatic,"₦ 6,858,000"
Lexus ES 330 2003 White,Lexus,ES 330,2003,local used,automatic,"₦ 6,200,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,Toyota,Camry SE,2013,foreign used,automatic,"₦ 13,500,000"
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Gray,Mercedes-Benz,C300 Base,2015,local used,automatic,"₦ 12,800,000"
Toyota Highlander LE 4dr SUV (2.7L 4cyl 6A) 2014 Gray,Toyota,Highlander LE,2014,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 Black,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 110,000,000"
Toyota Tundra 2018 Gray,Toyota,Tundra,2018,foreign used,automatic,"₦ 48,000,000"
Toyota Camry 2008 Burgundy,Toyota,Camry,2008,foreign used,automatic,"₦ 9,800,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2002 Gray,Toyota,Camry LE,2002,local used,automatic,"₦ 2,600,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 White,Toyota,Camry LE,2008,local used,automatic,"₦ 6,500,000"
Lexus RX 350 2008 Silver,Lexus,RX 350,2008,local used,automatic,"₦ 9,200,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 18,000,000"
Toyota Venza AWD 2011 Silver,Toyota,Venza AWD,2011,foreign used,automatic,"₦ 15,000,000"
