title,make,model,year,condition,transmission,price
Mercedes-Benz GLK-Class 2014 Gray,Mercedes-Benz,GLK-Class,2014,local used,automatic,"₦ 14,500,000"
Toyota Hilux 2023 White,Toyota,Hilux,2023,foreign used,automatic,"₦ 92,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2021 White,Mercedes-Benz,GLE-Class AMG,2021,foreign used,automatic,"₦ 125,000,000"
New Toyota Hilux 2025 White,New,Toyota Hilux,2025,brand new,automatic,"₦ 95,850,000"
Honda Pilot EX 4x4 (3.5L 6cyl 5A) 2007 Black,Honda,Pilot EX,2007,local used,automatic,"₦ 4,500,000"
Audi Q5 2.0T Premium Quattro 2012 Black,Audi,Q5 2,2012,local used,automatic,"₦ 8,500,000"
Honda Pilot Black Edition 2022 Black,Honda,Pilot Black,2022,foreign used,automatic,"₦ 45,000,000"
Honda CR-V 2.4 2008 Blue,Honda,CR-V 2,2008,local used,automatic,"₦ 6,500,000"
Toyota RAV4 2.5 2012 Red,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 14,500,000"
Honda Pilot 2015 Blue,Honda,Pilot,2015,foreign used,automatic,"₦ 16,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry LE,2013,local used,automatic,"₦ 9,900,000"
Hyundai Sonata Sport 4dr Sedan (2.4L 4cyl 6A) 2015 Silver,Hyundai,Sonata Sport,2015,foreign used,automatic,"₦ 12,800,000"
Toyota Corolla SE 2024 White,Toyota,Corolla SE,2024,foreign used,automatic,"₦ 26,500,000"
Mercedes-Benz VS680L Maybach 2019 Black,Mercedes-Benz,VS680L Maybach,2019,local used,automatic,"₦ 28,000,000"
Honda Pilot 2007 Silver,Honda,Pilot,2007,local used,automatic,"₦ 4,700,000"
Honda Accord EX CVT 2024 Gray,Honda,Accord EX,2024,foreign used,automatic,"₦ 39,000,000"
Toyota Avalon 2015 Gray,Toyota,Avalon,2015,foreign used,automatic,"₦ 17,800,000"
Volkswagen Golf 1.6 2003 Silver,Volkswagen,Golf 1,2003,local used,automatic,"₦ 3,000,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2021 Black,Toyota,Land Cruiser,2021,local used,automatic,"₦ 66,500,000"
Toyota Sienna XLE 2002 Silver,Toyota,Sienna XLE,2002,local used,automatic,"₦ 3,800,000"
Honda Accord 2007 Silver,Honda,Accord,2007,local used,automatic,"₦ 3,900,000"
Jaguar XF 2014 Red,Jaguar,XF,2014,local used,automatic,"₦ 11,000,000"
BMW X3 2005 White,BMW,X3,2005,local used,automatic,"₦ 3,600,000"
Mercedes-Benz M Class ML 63 AMG 2013 White,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 35,000,000"
Honda CR-V EX-L 4dr SUV AWD (2.4L 4cyl CVT) 2016 Blue,Honda,CR-V EX-L,2016,foreign used,automatic,"₦ 20,550,000"
New Jetour T2 2025 Black,New,Jetour T2,2025,brand new,automatic,"₦ 96,500,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2016 Gold,Toyota,Corolla S,2016,foreign used,automatic,"₦ 15,800,000"
Lexus LX 570 AWD 2013 Black,Lexus,LX 570,2013,local used,automatic,"₦ 67,500,000"
Land Rover Range Rover Vogue 2023 Black,Land,Rover Range,2023,foreign used,automatic,"₦ 257,500,000"
Mercedes-Benz GLE-Class GLE 350 2018 Black,Mercedes-Benz,GLE-Class GLE,2018,foreign used,automatic,"₦ 36,500,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,local used,automatic,"₦ 8,900,000"
Toyota Corolla LE 2005 Red,Toyota,Corolla LE,2005,local used,automatic,"₦ 4,850,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Gold,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 17,500,000"
Hyundai Sonata Limited 2.0T Sedan (2.0L 4cyl 6A) 2011 Black,Hyundai,Sonata Limited,2011,local used,automatic,"₦ 6,900,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2022 Silver,Mercedes-Benz,GLE-Class AMG,2022,foreign used,automatic,"₦ 147,000,000"
Honda Accord EX-L 2018 Black,Honda,Accord EX-L,2018,foreign used,automatic,"₦ 23,000,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Black,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 50,000,000"
New Toyota Hilux 2025 White,New,Toyota Hilux,2025,brand new,automatic,"₦ 100,000,000"
Toyota RAV4 2018 Black,Toyota,RAV4,2018,foreign used,automatic,"₦ 26,000,000"
Lexus IS 250 2014 Silver,Lexus,IS 250,2014,foreign used,automatic,"₦ 18,000,000"
Nissan Murano SL AWD 2020 Gray,Nissan,Murano SL,2020,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz GLE-Class GLE 350 2017 Silver,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 37,000,000"
Toyota Corolla LE Premium 4dr Sedan (1.8L 4cyl CVT) 2014 Black,Toyota,Corolla LE,2014,foreign used,automatic,"₦ 12,500,000"
Toyota RAV4 2021 Black,Toyota,RAV4,2021,foreign used,automatic,"₦ 36,000,000"
BMW 7 Series 730Li 2016 Black,BMW,7 Series,2016,foreign used,automatic,"₦ 35,000,000"
Toyota Camry 2009 Green,Toyota,Camry,2009,local used,automatic,"₦ 4,600,000"
Toyota Corolla 2016 Black,Toyota,Corolla,2016,foreign used,automatic,"₦ 14,000,000"
Honda Accord 2009 Black,Honda,Accord,2009,local used,automatic,"₦ 3,950,000"
Peugeot 508 2009 Gray,Peugeot,508,2009,local used,automatic,"₦ 8,200,000"
Honda CR-V 2008 Red,Honda,CR-V,2008,local used,automatic,"₦ 6,800,000"
Toyota Corolla 2021 Red,Toyota,Corolla,2021,foreign used,automatic,"₦ 26,800,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 37,500,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz GL-Class 2013 Gray,Mercedes-Benz,GL-Class,2013,local used,automatic,"₦ 15,000,000"
Mercedes-Benz C-Class C 300 (W204) 2009 White,Mercedes-Benz,C-Class C,2009,foreign used,automatic,"₦ 9,500,000"
Lexus ES 350 2008 White,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,950,000"
Chrysler 300C Base AWD 2010 White,Chrysler,300C Base,2010,local used,automatic,"₦ 36,850,000"
New Lexus TX 2025 Black,New,Lexus TX,2025,brand new,automatic,"₦ 186,500,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Blue,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 25,750,000"
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016,Toyota,Avalon XLE,2016,foreign used,automatic,"₦ 19,900,000"
Toyota Venza V6 AWD 2010 White,Toyota,Venza V6,2010,foreign used,automatic,"₦ 16,500,000"
Mercedes-Benz C300 Sport 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 White,Mercedes-Benz,C300 Sport,2015,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz E63 2021 Black,Mercedes-Benz,E63,2021,foreign used,automatic,"₦ 100,000,000"
Mini Clubman Cooper 2014 Black,Mini,Clubman Cooper,2014,foreign used,automatic,"₦ 12,500,000"
New Toyota Camry 2024 Black,New,Toyota Camry,2024,brand new,automatic,"₦ 83,000,000"
Toyota Hilux 2020 Black,Toyota,Hilux,2020,local used,automatic,"₦ 49,900,000"
Lexus RX 2015 White,Lexus,RX,2015,foreign used,automatic,"₦ 24,500,000"
Lexus RX 2013 White,Lexus,RX,2013,foreign used,automatic,"₦ 21,500,000"
Toyota Sienna 2008 Green,Toyota,Sienna,2008,foreign used,automatic,"₦ 5,950,000"
Mercedes-Benz Sprinter 2013 Black,Mercedes-Benz,Sprinter,2013,local used,automatic,"₦ 20,000,000"
Toyota Highlander 2002 Silver,Toyota,Highlander,2002,local used,automatic,"₦ 4,300,000"
Toyota Sienna 2005 Blue,Toyota,Sienna,2005,local used,automatic,"₦ 6,900,000"
Honda Accord 2005 Gray,Honda,Accord,2005,local used,automatic,"₦ 3,300,000"
Hyundai Elantra 2016 Gray,Hyundai,Elantra,2016,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz GLK-Class 2013 Black,Mercedes-Benz,GLK-Class,2013,local used,automatic,"₦ 15,800,000"
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,200,000"
Toyota Solara 2.2 Coupe 1999 Black,Toyota,Solara 2,1999,local used,automatic,"₦ 2,620,000"
Toyota Highlander LE 4dr SUV (2.7L 4cyl 6A) 2015 Red,Toyota,Highlander LE,2015,foreign used,automatic,"₦ 26,050,000"
Mercedes-Benz G-Class G63 AMG 4dr SUV 4WD (5.5L 8cyl Turbo 7A) 2014,Mercedes-Benz,G-Class G63,2014,local used,automatic,"₦ 67,500,000"
Mitsubishi Pajero V80 3.8 V6 GLS 2015 Gray,Mitsubishi,Pajero V80,2015,local used,automatic,"₦ 13,850,000"
Toyota Highlander Limited AWD 2024 Blue,Toyota,Highlander Limited,2024,foreign used,automatic,"₦ 91,500,000"
Land Rover Range Rover Vogue 2012 Black,Land,Rover Range,2012,local used,automatic,"₦ 23,500,000"
Mercedes-Benz E350 Base 4dr Sedan RWD (3.5L 6cyl 7A) 2014 Gray,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 22,000,000"
Lexus RX 350L 4WD 2020 Black,Lexus,RX 350L,2020,foreign used,automatic,"₦ 58,000,000"
BMW 320i 2011 Blue,BMW,320i,2011,local used,automatic,"₦ 6,200,000"
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 White,Acura,MDX SH,2016,foreign used,automatic,"₦ 25,000,000"
Ford Escape SE 4dr SUV AWD (1.6L 4cyl Turbo 6A) 2014 Burgundy,Ford,Escape SE,2014,foreign used,automatic,"₦ 13,000,000"
Mercedes-Benz C450 2016 Silver,Mercedes-Benz,C450,2016,foreign used,automatic,"₦ 36,000,000"
New Toyota Hilux 2025 White,New,Toyota Hilux,2025,brand new,automatic,"₦ 123,000,000"
Toyota Corolla 2012 Blue,Toyota,Corolla,2012,foreign used,automatic,"₦ 12,000,000"
Toyota Sienna LE AWD (3.3L V6 5A) 2004 Silver,Toyota,Sienna LE,2004,local used,automatic,"₦ 5,500,000"
Pontiac Vibe 2006 Red,Pontiac,Vibe,2006,local used,automatic,"₦ 4,150,000"
Kia Sportage 2012 Gold,Kia,Sportage,2012,local used,automatic,"₦ 7,700,000"
Toyota Land Cruiser 2021 Black,Toyota,Land Cruiser,2021,local used,automatic,"₦ 25,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Blue,Toyota,Camry LE,2008,local used,automatic,"₦ 6,500,000"
Toyota Land Cruiser 5.7 V8 VXR 2019 Black,Toyota,Land Cruiser,2019,local used,automatic,"₦ 92,500,000"
Toyota Hilux 2023 Gray,Toyota,Hilux,2023,foreign used,automatic,"₦ 65,500,000"
Honda Accord 2008 Gray,Honda,Accord,2008,local used,automatic,"₦ 4,950,000"
Honda Pilot 2009 Gray,Honda,Pilot,2009,local used,automatic,"₦ 6,500,000"
JAC T6 2015 White,JAC,T6,2015,foreign used,automatic,"₦ 15,500,000"
Toyota Camry 2001,Toyota,Camry,2001,local used,automatic,"₦ 2,200,000"
Toyota Sienna 2005 Red,Toyota,Sienna,2005,foreign used,automatic,"₦ 12,500,000"
Toyota Highlander 2019 Blue,Toyota,Highlander,2019,foreign used,automatic,"₦ 36,500,000"
Toyota Corolla 2014 Blue,Toyota,Corolla,2014,foreign used,automatic,"₦ 10,500,000"
Toyota Highlander 2020 Gray,Toyota,Highlander,2020,local used,automatic,"₦ 39,500,000"
New Toyota Fortuner 2.7 AWD 2024 Black,New,Toyota Fortuner,2024,brand new,automatic,"₦ 89,850,000"
Lexus LX 570 AWD 2013 Black,Lexus,LX 570,2013,local used,automatic,"₦ 47,500,000"
Hyundai Elantra GLS Sedan FWD (1.8L 4cyl 6A) 2013 Red,Hyundai,Elantra GLS,2013,local used,automatic,"₦ 7,850,000"
Lexus ES 350 2008,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,300,000"
Toyota Venza LE 2009 Red,Toyota,Venza LE,2009,foreign used,automatic,"₦ 19,850,000"
Toyota Corolla 2015 Red,Toyota,Corolla,2015,foreign used,automatic,"₦ 15,000,000"
Toyota Hilux Revo Double Cab Petrol 2.7 AWD 2020 White,Toyota,Hilux Revo,2020,local used,automatic,"₦ 46,700,000"
Toyota Camry SE Sport 4dr Sedan w/Prod. End 11/13 (2.5L 4cyl 6A) 2014 Black,Toyota,Camry SE,2014,local used,automatic,"₦ 10,300,000"
Mercedes-Benz GLC-Class 2016 White,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 26,300,000"
Acura TL SH-AWD Automatic Tech Package 2011 Gray,Acura,TL SH-AWD,2011,foreign used,automatic,"₦ 9,300,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (2.0L 4cyll 7A) 2016 Gray,Mercedes-Benz,C300 Sport,2016,foreign used,automatic,"₦ 19,500,000"
Ford Edge Sport 4dr SUV (2.7L 6cyl Turbo 6A) 2015 Red,Ford,Edge Sport,2015,foreign used,automatic,"₦ 14,000,000"
Toyota Camry LE FWD (2.5L 4cyl 8AM) 2018 Gray,Toyota,Camry LE,2018,foreign used,automatic,"₦ 30,000,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 Black,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 29,500,000"
New Mercedes-Benz G-Class G63 AMG Brabus G700 2025 Black,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 500,000,000"
New Toyota Land Cruiser Prado 2.8 2023 Black,New,Toyota Land,2023,brand new,automatic,"₦ 115,000,000"
Toyota Highlander Limited 2019 White,Toyota,Highlander Limited,2019,foreign used,automatic,"₦ 37,000,000"
Honda CR-V EX 4dr SUV AWD (2.4L 4cyl CVT) 2016 Blue,Honda,CR-V EX,2016,foreign used,automatic,"₦ 22,000,000"
Toyota Corolla 2010 Black,Toyota,Corolla,2010,local used,automatic,"₦ 8,200,000"
Honda Accord 2020 Gold,Honda,Accord,2020,foreign used,automatic,"₦ 25,000,000"
Toyota Sienna 2005 Silver,Toyota,Sienna,2005,local used,automatic,"₦ 6,500,000"
Toyota Camry XSE V6 (3.5L V6 8A) 2019 Black,Toyota,Camry XSE,2019,foreign used,automatic,"₦ 36,000,000"
Peugeot 206 1.4 2005 Green,Peugeot,206 1,2005,foreign used,manual,"₦ 3,850,000"
Nissan Primera 2.0 Break 2002 Silver,Nissan,Primera 2,2002,local used,automatic,"₦ 2,650,000"
Toyota Matrix Hatchback FWD (1.8L 4cyl 5M) 2010 Silver,Toyota,Matrix Hatchback,2010,local used,automatic,"₦ 5,750,000"
Mercedes-Benz G-Class G63 AMG Brabus G700 2025 Black,Mercedes-Benz,G-Class G63,2025,foreign used,automatic,"₦ 498,000,000"
Honda CR-V EX 4dr SUV AWD (2.4L 4cyl CVT) 2016 Gray,Honda,CR-V EX,2016,local used,automatic,"₦ 13,800,000"
Audi A4 2.0T Premium 2010 Gold,Audi,A4 2,2010,local used,automatic,"₦ 6,000,000"
Toyota Matrix S Hatchback AWD (2.4L 4cyl 4A) 2009 Blue,Toyota,Matrix S,2009,local used,automatic,"₦ 5,900,000"
Mercedes-Benz SC-Class 2020 Gold,Mercedes-Benz,SC-Class,2020,foreign used,automatic,"₦ 189,000,000"
Toyota Sienna LE 7 Passenger 2012 White,Toyota,Sienna LE,2012,foreign used,automatic,"₦ 13,950,000"
Toyota Venza Limited 2009 Silver,Toyota,Venza Limited,2009,foreign used,automatic,"₦ 14,950,000"
Toyota Corolla SE 4dr Sedan (1.8L 4cyl CVT) 2017 White,Toyota,Corolla SE,2017,foreign used,automatic,"₦ 17,500,000"
Toyota Sequoia Limited 4dr SUV 4WD (5.7L 8cyl 6A) 2014 Silver,Toyota,Sequoia Limited,2014,foreign used,automatic,"₦ 29,500,000"
Mercedes-Benz G-Class G63 AMG 4dr SUV 4WD (5.5L 8cyl Turbo 7A) 2014,Mercedes-Benz,G-Class G63,2014,foreign used,automatic,"₦ 95,000,000"
Toyota Land Cruiser Prado 2015 Black,Toyota,Land Cruiser,2015,foreign used,automatic,"₦ 58,000,000"
Toyota Sienna 2012 Silver,Toyota,Sienna,2012,foreign used,automatic,"₦ 11,900,000"
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016 Burgundy,Toyota,Avalon XLE,2016,foreign used,automatic,"₦ 19,000,000"
Honda Civic 1.4i LS 2005 Brown,Honda,Civic 1,2005,local used,automatic,"₦ 2,500,000"
Lexus ES 350 2011 Blue,Lexus,ES 350,2011,local used,automatic,"₦ 8,700,000"
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 22,150,000"
Honda CR-V 2013 Gray,Honda,CR-V,2013,local used,automatic,"₦ 11,200,000"
Toyota Land Cruiser 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 35,400,000"
Toyota Sienna 2012 Black,Toyota,Sienna,2012,local used,automatic,"₦ 11,200,000"
Lexus ES 2016 Red,Lexus,ES,2016,foreign used,automatic,"₦ 22,000,000"
Toyota Highlander 2004 Silver,Toyota,Highlander,2004,local used,automatic,"₦ 4,900,000"
Toyota Venza 2011 White,Toyota,Venza,2011,foreign used,automatic,"₦ 15,500,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 6,800,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2010 Silver,Toyota,Camry XLE,2010,foreign used,automatic,"₦ 10,200,000"
Toyota RAV4 XLE 2021 Silver,Toyota,RAV4 XLE,2021,foreign used,automatic,"₦ 45,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Black,Mercedes-Benz,GLK-Class 350,2012,local used,automatic,"₦ 13,300,000"
Tesla Model 3 75D kWh Long Range 2022 Red,Tesla,Model 3,2022,foreign used,automatic,"₦ 150,000,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Black,Honda,Accord EX-L,2017,foreign used,automatic,"₦ 17,500,000"
Toyota Land Cruiser 4.5 V8 GXR 2018 Black,Toyota,Land Cruiser,2018,local used,automatic,"₦ 78,000,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,local used,automatic,"₦ 7,700,000"
Chevrolet Malibu LS w/1LS 2017 Gray,Chevrolet,Malibu LS,2017,foreign used,automatic,"₦ 9,500,000"
Lexus RX 350 2021 White,Lexus,RX 350,2021,foreign used,automatic,"₦ 55,000,000"
Mercedes-Benz C300 2022 Black,Mercedes-Benz,C300,2022,foreign used,automatic,"₦ 75,000,000"
Hyundai Sonata Limited 2020 White,Hyundai,Sonata Limited,2020,foreign used,automatic,"₦ 29,000,000"
Lexus RX 350 F SPORT AWD 2013 Burgundy,Lexus,RX 350,2013,foreign used,automatic,"₦ 24,500,000"
Mercedes-Benz G-Class 2021 Black,Mercedes-Benz,G-Class,2021,local used,automatic,"₦ 199,000,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 14,200,000"
Toyota Land Cruiser Prado 4.0 Petrol TX 2012 Black,Toyota,Land Cruiser,2012,foreign used,automatic,"₦ 45,000,000"
Lexus IS 350 2012 Red,Lexus,IS 350,2012,foreign used,automatic,"₦ 12,800,000"
Toyota Highlander 2015 White,Toyota,Highlander,2015,foreign used,automatic,"₦ 26,500,000"
Lexus ES 2017 Black,Lexus,ES,2017,foreign used,automatic,"₦ 20,700,000"
Peugeot 206 2005 Blue,Peugeot,206,2005,local used,manual,"₦ 1,980,000"
Honda Civic 2020 White,Honda,Civic,2020,foreign used,automatic,"₦ 22,000,000"
Nissan Almera 2015 Black,Nissan,Almera,2015,local used,automatic,"₦ 3,200,000"
Mercedes-Benz C300 2016 Gray,Mercedes-Benz,C300,2016,local used,automatic,"₦ 13,200,000"
Toyota Tacoma 2004 White,Toyota,Tacoma,2004,local used,automatic,"₦ 10,300,000"
Honda Accord Sport 4dr Sedan (2.4L 4cyl 6M) 2014 Silver,Honda,Accord Sport,2014,foreign used,automatic,"₦ 13,900,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 Gray,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 31,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6AM) 2009 Red,Toyota,Camry XLE,2009,foreign used,automatic,"₦ 9,700,000"
Toyota Highlander 2015 Red,Toyota,Highlander,2015,foreign used,automatic,"₦ 27,000,000"
Lexus RX 2008,Lexus,RX,2008,local used,automatic,"₦ 8,900,000"
New Toyota Land Cruiser 2025 Black,New,Toyota Land,2025,brand new,automatic,"₦ 245,000,000"
Toyota Avalon XLE Premium Sedan FWD (3.5L 6cyl 6A) 2013 Black,Toyota,Avalon XLE,2013,local used,automatic,"₦ 13,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2017 Gray,Toyota,Corolla LE,2017,foreign used,automatic,"₦ 14,950,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2015 White,Mercedes-Benz,E350 Base,2015,foreign used,automatic,"₦ 22,500,000"
Toyota Venza XLE 2010 Black,Toyota,Venza XLE,2010,foreign used,automatic,"₦ 15,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry XLE,2013,local used,automatic,"₦ 9,850,000"
Honda Pilot EX-L 4dr SUV 4WD (3.5L 6cyl 5A) 2011 Black,Honda,Pilot EX-L,2011,foreign used,automatic,"₦ 14,600,000"
Lexus ES 350 Luxury 2021 Silver,Lexus,ES 350,2021,foreign used,automatic,"₦ 55,000,000"
Mercedes-Benz GLC-Class 2017 Gray,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 52,000,000"
Toyota Venza XLE 4dr Wagon (2.7L 4cyl 6A) 2015 Gray,Toyota,Venza XLE,2015,foreign used,automatic,"₦ 24,046,875"
Lexus GX 460 Luxury 2015 Black,Lexus,GX 460,2015,local used,automatic,"₦ 39,000,000"
Honda Pilot 2004 Gray,Honda,Pilot,2004,local used,automatic,"₦ 4,200,000"
Toyota Corolla 2020 Red,Toyota,Corolla,2020,foreign used,automatic,"₦ 21,500,000"
Lexus ES 2006 Gold,Lexus,ES,2006,local used,automatic,"₦ 6,000,000"
Toyota Sienna 2005 Blue,Toyota,Sienna,2005,foreign used,automatic,"₦ 5,500,000"
Land Rover Range Rover Evoque 2016 Blue,Land,Rover Range,2016,local used,automatic,"₦ 10,200,000"
Toyota Corolla 2015 Black,Toyota,Corolla,2015,local used,automatic,"₦ 7,912,000"
Honda Accord 2012,Honda,Accord,2012,local used,automatic,"₦ 4,800,000"
Mercedes-Benz GLE-Class 2016 Silver,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 69,000,000"
Infiniti QX60 2015 Silver,Infiniti,QX60,2015,local used,automatic,"₦ 10,000,000"
Mercedes-Benz C300 2014 Black,Mercedes-Benz,C300,2014,foreign used,automatic,"₦ 14,600,000"
Hyundai Elantra 2011 Gold,Hyundai,Elantra,2011,local used,automatic,"₦ 6,200,000"
Nissan Sentra 2015,Nissan,Sentra,2015,foreign used,automatic,"₦ 11,000,000"
Lexus RX 2001 Off white,Lexus,RX,2001,foreign used,automatic,"₦ 4,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 Gold,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 37,500,000"
Toyota Sienna Limited FWD 7-Passenger 2013 Gray,Toyota,Sienna Limited,2013,foreign used,automatic,"₦ 13,850,000"
Lexus RX 2001 White,Lexus,RX,2001,local used,automatic,"₦ 4,400,000"
New Toyota Starlet 2025 Black,New,Toyota Starlet,2025,brand new,automatic,"₦ 52,000,000"
Lexus GX 470 Sport Utility 2008 Black,Lexus,GX 470,2008,local used,automatic,"₦ 14,500,000"
Audi Q7 3.0T Premium AWD quattro 2018 Black,Audi,Q7 3,2018,foreign used,automatic,"₦ 48,500,000"
Toyota Camry XLE 4dr Sedan (3.5L 6cyl 6A) 2015 Gray,Toyota,Camry XLE,2015,foreign used,automatic,"₦ 20,000,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Gray,Toyota,Camry SE,2019,foreign used,automatic,"₦ 28,000,000"
Hyundai Veloster Turbo 2013 Brown,Hyundai,Veloster Turbo,2013,local used,automatic,"₦ 5,700,000"
Toyota Camry 2002 Blue,Toyota,Camry,2002,local used,automatic,"₦ 2,530,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 Black,Mercedes-Benz,GLK-Class 350,2012,local used,automatic,"₦ 11,700,000"
Ford Explorer XLT 4dr 4x4 (3.5L 6cyl 6A) 2012 Black,Ford,Explorer XLT,2012,local used,automatic,"₦ 10,800,000"
Toyota Land Cruiser Prado 2.7 i 2012 Black,Toyota,Land Cruiser,2012,local used,automatic,"₦ 18,000,000"
Toyota Avalon Touring 2020 Silver,Toyota,Avalon Touring,2020,foreign used,automatic,"₦ 31,000,000"
Lexus GX 460 Luxury 2017 Black,Lexus,GX 460,2017,foreign used,automatic,"₦ 48,000,000"
Mercedes-Benz GLS-Class GLS450 4MATIC 2018 Black,Mercedes-Benz,GLS-Class GLS450,2018,foreign used,automatic,"₦ 50,000,000"
Toyota Camry 2008 Gray,Toyota,Camry,2008,foreign used,automatic,"₦ 9,800,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2010 Black,Toyota,Corolla LE,2010,local used,automatic,"₦ 6,500,000"
Changan CS55 Plus 1.5 Petrol FWD 2023 Gray,Changan,CS55 Plus,2023,local used,automatic,"₦ 28,000,000"
Lexus RX 2013 Blue,Lexus,RX,2013,foreign used,automatic,"₦ 15,500,000"
Toyota Hilux 2025 Black,Toyota,Hilux,2025,local used,automatic,"₦ 120,000,000"
Honda CR-V 2015 White,Honda,CR-V,2015,foreign used,automatic,"₦ 20,000,000"
Mercedes-Benz GLK-Class Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A) 2015 Gray,Mercedes-Benz,GLK-Class Base,2015,foreign used,automatic,"₦ 23,500,000"
Toyota RAV4 2010 Black,Toyota,RAV4,2010,foreign used,automatic,"₦ 12,800,000"
Honda Ridgeline 2010 Blue,Honda,Ridgeline,2010,foreign used,automatic,"₦ 13,500,000"
Ford Edge Titanium AWD 2018 Black,Ford,Edge Titanium,2018,local used,automatic,"₦ 18,200,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2016 Black,Toyota,Land Cruiser,2016,local used,automatic,"₦ 45,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 Black,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 25,800,000"
New Mercedes-Benz G-Class 2025 Black,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 850,000,000"
Mercedes-Benz GLE-Class GLE 350 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 36,550,000"
Toyota Land Cruiser 4.0 V6 GXR 2019 Black,Toyota,Land Cruiser,2019,foreign used,automatic,"₦ 75,000,000"
Audi Q5 2010 Black,Audi,Q5,2010,local used,automatic,"₦ 8,300,000"
Mazda CX-7 i SV 2011 Silver,Mazda,CX-7 i,2011,local used,automatic,"₦ 7,850,000"
